Id.x,SpCode,DBH,StreetName,StreetNumber,City,Botanic Name,Common Name,Tree Type
1,ACLO,2,EL CAMINO REAL,800,Arroyo Grande,Acacia longifolia,,BES
2,ACLO,2,EL CAMINO REAL,800,Arroyo Grande,Acacia longifolia,,BES
3,ACLO,2,EL CAMINO REAL,800,Arroyo Grande,Acacia longifolia,,BES
4,ACLO,2,EL CAMINO REAL,800,Arroyo Grande,Acacia longifolia,,BES
5,ACLO,2,EL CAMINO REAL,800,Arroyo Grande,Acacia longifolia,,BES
6,ACLO,2,EL CAMINO REAL,800,Arroyo Grande,Acacia longifolia,,BES
7,ACLO,2,ASH ST,1221,Arroyo Grande,Acacia longifolia,,BES
8,ACLO,1,ASH ST,1221,Arroyo Grande,Acacia longifolia,,BES
9,ACLO,1,ASH ST,1221,Arroyo Grande,Acacia longifolia,,BES
10,ACLO,4,ASH ST,1221,Arroyo Grande,Acacia longifolia,,BES
11,ACLO,3,ASH ST,1221,Arroyo Grande,Acacia longifolia,,BES
12,ACLO,2,ASH ST,1221,Arroyo Grande,Acacia longifolia,,BES
13,ACLO,2,ASH ST,1221,Arroyo Grande,Acacia longifolia,,BES
14,ACLO,2,ASH ST,1221,Arroyo Grande,Acacia longifolia,,BES
15,ACLO,2,ASH ST,1221,Arroyo Grande,Acacia longifolia,,BES
16,ACLO,4,ASH ST,1221,Arroyo Grande,Acacia longifolia,,BES
17,ACLO,3,ASH ST,1221,Arroyo Grande,Acacia longifolia,,BES
18,ACLO,2,ASH ST,1221,Arroyo Grande,Acacia longifolia,,BES
19,ACLO,3,ASH ST,1221,Arroyo Grande,Acacia longifolia,,BES
20,ACLO,4,ASH ST,1221,Arroyo Grande,Acacia longifolia,,BES
21,ACLO,2,ASH ST,1221,Arroyo Grande,Acacia longifolia,,BES
22,ACLO,1,ASH ST,1375,Arroyo Grande,Acacia longifolia,,BES
23,ACLO,2,ASH ST,1375,Arroyo Grande,Acacia longifolia,,BES
24,ACLO,1,ASH ST,1375,Arroyo Grande,Acacia longifolia,,BES
25,ACLO,1,ASH ST,1375,Arroyo Grande,Acacia longifolia,,BES
26,ACME,2,EL CAMINO REAL,700,Arroyo Grande,Acacia melanoxylon,,BEL
27,ACME,1,EL CAMINO REAL,800,Arroyo Grande,Acacia melanoxylon,,BEL
28,ACME,1,JAMES WY,579,Arroyo Grande,Acacia melanoxylon,,BEL
29,ACDE,1,RANCHO PKWY,850,Arroyo Grande,Acacia salicina,,BEM
30,ACDE,6,CALIFORNIA ST,400,Arroyo Grande,Acacia species,,BEM
31,ACDE,1,W BRANCH ST,400,Arroyo Grande,Acacia species,,BEM
32,ACPA,1,S MASON ST,134,Arroyo Grande,Acer ginnala,,BDS
33,ACPA,1,ASH ST,1221,Arroyo Grande,Acer ginnala,,BDS
34,ACNE,4,S MASON ST,126,Arroyo Grande,Acer negundo,,BDL
35,ACNE,4,OLOHAN ALY,100,Arroyo Grande,Acer negundo,,BDL
36,ACNE,4,OLOHAN ALY,100,Arroyo Grande,Acer negundo,,BDL
37,ACNE,3,OLOHAN ALY,100,Arroyo Grande,Acer negundo,,BDL
38,ACNE,4,OLOHAN ALY,100,Arroyo Grande,Acer negundo,,BDL
39,ACNE,3,HUASNA RD,1150,Arroyo Grande,Acer negundo,,BDL
40,ACNE,3,HUASNA RD,1150,Arroyo Grande,Acer negundo,,BDL
41,ACNE,2,HUASNA RD,1150,Arroyo Grande,Acer negundo,,BDL
42,ACNE,2,HUASNA RD,1150,Arroyo Grande,Acer negundo,,BDL
43,ACNE,2,HUASNA RD,1150,Arroyo Grande,Acer negundo,,BDL
44,ACNE,3,HUASNA RD,1150,Arroyo Grande,Acer negundo,,BDL
45,ACNE,2,HUASNA RD,1150,Arroyo Grande,Acer negundo,,BDL
46,ACNE,3,HUASNA RD,1150,Arroyo Grande,Acer negundo,,BDL
47,ACNE,3,HUASNA RD,1150,Arroyo Grande,Acer negundo,,BDL
48,ACNE,2,HUASNA RD,1150,Arroyo Grande,Acer negundo,,BDL
49,ACNE,4,HUASNA RD,1150,Arroyo Grande,Acer negundo,,BDL
50,ACNE,4,HUASNA RD,1150,Arroyo Grande,Acer negundo,,BDL
51,ACNE,3,HUASNA RD,1150,Arroyo Grande,Acer negundo,,BDL
52,ACNE,3,HUASNA RD,1150,Arroyo Grande,Acer negundo,,BDL
53,ACNE,3,HUASNA RD,1150,Arroyo Grande,Acer negundo,,BDL
54,ACNE,3,HUASNA RD,1150,Arroyo Grande,Acer negundo,,BDL
55,ACNE,2,HUASNA RD,1150,Arroyo Grande,Acer negundo,,BDL
56,ACNE,3,HUASNA RD,1150,Arroyo Grande,Acer negundo,,BDL
57,ACNE,3,HUASNA RD,1150,Arroyo Grande,Acer negundo,,BDL
58,ACNE,2,HUASNA RD,1150,Arroyo Grande,Acer negundo,,BDL
59,ACNE,2,HUASNA RD,1150,Arroyo Grande,Acer negundo,,BDL
60,ACNE,3,HUASNA RD,1150,Arroyo Grande,Acer negundo,,BDL
61,ACNE,2,HUASNA RD,1150,Arroyo Grande,Acer negundo,,BDL
62,ACNE,2,HUASNA RD,1150,Arroyo Grande,Acer negundo,,BDL
63,ACNE,2,HUASNA RD,1150,Arroyo Grande,Acer negundo,,BDL
64,ACNE,2,HUASNA RD,1150,Arroyo Grande,Acer negundo,,BDL
65,ACNE,3,HUASNA RD,1150,Arroyo Grande,Acer negundo,,BDL
66,ACNE,1,SHORT ST,110,Arroyo Grande,Acer negundo,,BDL
67,ACNE,3,SHORT ST,133,Arroyo Grande,Acer negundo,,BDL
68,ACNE,3,SHORT ST,133,Arroyo Grande,Acer negundo,,BDL
69,ACNE,2,SHORT ST,133,Arroyo Grande,Acer negundo,,BDL
70,ACNE,3,SHORT ST,133,Arroyo Grande,Acer negundo,,BDL
71,ACNE,1,SHORT ST,133,Arroyo Grande,Acer negundo,,BDL
72,ACNE,1,SHORT ST,133,Arroyo Grande,Acer negundo,,BDL
73,ACNE,1,SHORT ST,133,Arroyo Grande,Acer negundo,,BDL
74,ACNE,2,SHORT ST,133,Arroyo Grande,Acer negundo,,BDL
75,ACNE,1,SHORT ST,133,Arroyo Grande,Acer negundo,,BDL
76,ACNE,2,SHORT ST,133,Arroyo Grande,Acer negundo,,BDL
77,ACNE,2,SHORT ST,133,Arroyo Grande,Acer negundo,,BDL
78,ACNE,3,SHORT ST,133,Arroyo Grande,Acer negundo,,BDL
79,ACNE,1,SHORT ST,133,Arroyo Grande,Acer negundo,,BDL
80,ACNE,2,SHORT ST,133,Arroyo Grande,Acer negundo,,BDL
81,ACNE,1,SHORT ST,133,Arroyo Grande,Acer negundo,,BDL
82,ACNE,2,SHORT ST,133,Arroyo Grande,Acer negundo,,BDL
83,ACNE,2,SHORT ST,133,Arroyo Grande,Acer negundo,,BDL
84,ACNE,2,SHORT ST,133,Arroyo Grande,Acer negundo,,BDL
85,ACNE,3,SHORT ST,133,Arroyo Grande,Acer negundo,,BDL
86,ACNE,1,SHORT ST,133,Arroyo Grande,Acer negundo,,BDL
87,ACNE,2,SHORT ST,133,Arroyo Grande,Acer negundo,,BDL
88,ACNE,3,SHORT ST,133,Arroyo Grande,Acer negundo,,BDL
89,ACNE,4,SHORT ST,133,Arroyo Grande,Acer negundo,,BDL
90,ACNE,2,SHORT ST,133,Arroyo Grande,Acer negundo,,BDL
91,ACNE,1,SHORT ST,133,Arroyo Grande,Acer negundo,,BDL
92,ACNE,4,SHORT ST,133,Arroyo Grande,Acer negundo,,BDL
93,ACNE,1,SHORT ST,133,Arroyo Grande,Acer negundo,,BDL
94,ACNE,1,S MASON ST,126,Arroyo Grande,Acer negundo,,BDL
95,ACNE,2,S MASON ST,126,Arroyo Grande,Acer negundo,,BDL
96,ACNE,3,S MASON ST,126,Arroyo Grande,Acer negundo,,BDL
97,ACNE,4,S MASON ST,126,Arroyo Grande,Acer negundo,,BDL
