Id.x,SpCode,DBH,StreetName,StreetNumber,City,Botanic Name,Common Name,Tree Type
1,SESE,6,WOODMONT AVE,515,Berkeley,Sequoia sempervirens,Coast redwood,CEL
2,SESE,6,WOODMONT AVE,515,Berkeley,Sequoia sempervirens,Coast redwood,CEL
3,SESE,4,WOODMONT AVE,515,Berkeley,Sequoia sempervirens,Coast redwood,CEL
4,SESE,4,WOODMONT AVE,515,Berkeley,Sequoia sempervirens,Coast redwood,CEL
5,SESE,6,WOODMONT AVE,515,Berkeley,Sequoia sempervirens,Coast redwood,CEL
6,SESE,6,WOODMONT AVE,515,Berkeley,Sequoia sempervirens,Coast redwood,CEL
7,SESE,6,WOODMONT AVE,515,Berkeley,Sequoia sempervirens,Coast redwood,CEL
8,SESE,4,WOODMONT AVE,515,Berkeley,Sequoia sempervirens,Coast redwood,CEL
9,SESE,4,WOODMONT AVE,515,Berkeley,Sequoia sempervirens,Coast redwood,CEL
10,SESE,6,WOODMONT AVE,515,Berkeley,Sequoia sempervirens,Coast redwood,CEL
11,SESE,6,WILDCAT CANYON RD,540,Berkeley,Sequoia sempervirens,Coast redwood,CEL
12,SESE,6,WILDCAT CANYON RD,544,Berkeley,Sequoia sempervirens,Coast redwood,CEL
13,SESE,6,WILDCAT CANYON RD,544,Berkeley,Sequoia sempervirens,Coast redwood,CEL
14,SESE,6,WILDCAT CANYON RD,544,Berkeley,Sequoia sempervirens,Coast redwood,CEL
15,SESE,5,WILDCAT CANYON RD,544,Berkeley,Sequoia sempervirens,Coast redwood,CEL
16,SESE,5,WILDCAT CANYON RD,544,Berkeley,Sequoia sempervirens,Coast redwood,CEL
17,SESE,6,WILDCAT CANYON RD,544,Berkeley,Sequoia sempervirens,Coast redwood,CEL
18,SESE,6,WILDCAT CANYON RD,544,Berkeley,Sequoia sempervirens,Coast redwood,CEL
19,SESE,5,WILDCAT CANYON RD,544,Berkeley,Sequoia sempervirens,Coast redwood,CEL
20,SESE,6,WILDCAT CANYON RD,548,Berkeley,Sequoia sempervirens,Coast redwood,CEL
21,SESE,6,WILDCAT CANYON RD,552,Berkeley,Sequoia sempervirens,Coast redwood,CEL
22,SESE,4,WILDCAT CANYON RD,552,Berkeley,Sequoia sempervirens,Coast redwood,CEL
23,SESE,3,WILDCAT CANYON RD,552,Berkeley,Sequoia sempervirens,Coast redwood,CEL
24,SESE,5,WILDCAT CANYON RD,552,Berkeley,Sequoia sempervirens,Coast redwood,CEL
25,SESE,4,WILDCAT CANYON RD,552,Berkeley,Sequoia sempervirens,Coast redwood,CEL
26,SESE,5,WILDCAT CANYON RD,552,Berkeley,Sequoia sempervirens,Coast redwood,CEL
27,SESE,6,WILDCAT CANYON RD,552,Berkeley,Sequoia sempervirens,Coast redwood,CEL
28,COBU,1,WILDCAT CANYON RD,552,Berkeley,Cotoneaster buxifolius,Cotoneaster,BES
29,PIRA,3,WILDCAT CANYON RD,556,Berkeley,Pinus radiata,Monterey pine,CEL
30,QUAG,3,WILDCAT CANYON RD,556,Berkeley,Quercus agrifolia,Coastal live oak; California live oak,BEL
31,QUAG,2,WILDCAT CANYON RD,556,Berkeley,Quercus agrifolia,Coastal live oak; California live oak,BEL
32,QUAG,2,WILDCAT CANYON RD,556,Berkeley,Quercus agrifolia,Coastal live oak; California live oak,BEL
33,PIRA,6,WILDCAT CANYON RD,556,Berkeley,Pinus radiata,Monterey pine,CEL
34,QUAG,1,WILDCAT CANYON RD,556,Berkeley,Quercus agrifolia,Coastal live oak; California live oak,BEL
35,QU,1,WILDCAT CANYON RD,556,Berkeley,Quercus species,Oak,BDL
36,QUAG,1,WILDCAT CANYON RD,556,Berkeley,Quercus agrifolia,Coastal live oak; California live oak,BEL
37,QUAG,1,WILDCAT CANYON RD,556,Berkeley,Quercus agrifolia,Coastal live oak; California live oak,BEL
38,PIRA,5,WILDCAT CANYON RD,556,Berkeley,Pinus radiata,Monterey pine,CEL
39,PRCE,1,WILDCAT CANYON RD,566,Berkeley,Prunus cerasifera,Cherry plum,BDS
40,CUMA,4,WILDCAT CANYON RD,566,Berkeley,Cupressus macrocarpa,Monterey cypress,CEL
41,QUAG,1,WILDCAT CANYON RD,566,Berkeley,Quercus agrifolia,Coastal live oak; California live oak,BEL
42,PIRA,5,VISTAMONT AVE,549,Berkeley,Pinus radiata,Monterey pine,CEL
43,EUGL,2,VISTAMONT AVE,549,Berkeley,Eucalyptus globulus,Blue gum eucalyptus,BEL
44,EUGL,1,VISTAMONT AVE,549,Berkeley,Eucalyptus globulus,Blue gum eucalyptus,BEL
45,CUMA,5,VISTAMONT AVE,549,Berkeley,Cupressus macrocarpa,Monterey cypress,CEL
46,PIRA,2,VISTAMONT AVE,549,Berkeley,Pinus radiata,Monterey pine,CEL
47,CUMA,5,VISTAMONT AVE,549,Berkeley,Cupressus macrocarpa,Monterey cypress,CEL
48,QU,1,VISTAMONT AVE,549,Berkeley,Quercus species,Oak,BDL
49,PIRA,6,VISTAMONT AVE,549,Berkeley,Pinus radiata,Monterey pine,CEL
50,CUMA,5,VISTAMONT AVE,549,Berkeley,Cupressus macrocarpa,Monterey cypress,CEL
51,CUMA,6,VISTAMONT AVE,549,Berkeley,Cupressus macrocarpa,Monterey cypress,CEL
52,CUMA,6,VISTAMONT AVE,551,Berkeley,Cupressus macrocarpa,Monterey cypress,CEL
53,QU,1,VISTAMONT AVE,551,Berkeley,Quercus species,Oak,BDL
54,QUAG,2,VISTAMONT AVE,551,Berkeley,Quercus agrifolia,Coastal live oak; California live oak,BEL
55,PRCE,1,VISTAMONT AVE,551,Berkeley,Prunus cerasifera,Cherry plum,BDS
56,CUMA,4,VISTAMONT AVE,551,Berkeley,Cupressus macrocarpa,Monterey cypress,CEL
57,QUAG,1,VISTAMONT AVE,551,Berkeley,Quercus agrifolia,Coastal live oak; California live oak,BEL
