Id.x,SpCode,DBH,StreetName,StreetNumber,City,Botanic Name,Common Name,Tree Type
14233,EUGL,4,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14234,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14235,EURU,3,CALIFORNIA DR,300,Burlingame,Eucalyptus rudis,,BEL
14236,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14237,EUGL,5,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14238,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14239,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14240,EUGL,3,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14241,EUGL,2,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14242,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14243,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14244,EUGL,2,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14245,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14246,EUGL,3,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14247,EUGL,3,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14248,EUGL,4,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14249,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14250,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14251,EUGL,5,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14252,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14253,EUGL,5,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14254,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14255,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14256,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14257,EUGL,4,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14258,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14259,EUGL,3,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14260,EUGL,4,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14261,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14262,EUGL,5,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14263,EUGL,4,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14264,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14265,EUGL,4,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14266,EUGL,2,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14267,EURU,3,CALIFORNIA DR,300,Burlingame,Eucalyptus rudis,,BEL
14268,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14269,EUGL,3,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14270,EUGL,5,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14271,EUGL,3,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14272,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14273,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14274,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14275,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14276,EUGL,3,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14277,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14278,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14279,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14280,EUGL,3,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14281,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14282,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14283,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14284,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14285,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14286,EUGL,4,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14287,EUGL,4,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14288,EUGL,2,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14289,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14290,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14291,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14292,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14293,EUGL,2,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14294,EUGL,4,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14295,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14296,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14297,EUGL,3,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14298,EUGL,3,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14299,EUGL,4,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14300,EUGL,5,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14301,EUGL,3,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14302,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14303,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14304,EUGL,4,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14305,EUGL,5,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14306,EUGL,4,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14307,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14308,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14309,EUGL,3,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14310,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14311,EUGL,5,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14312,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14313,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
14314,EUGL,6,CALIFORNIA DR,300,Burlingame,Eucalyptus globulus,,BEL
