Id.x,SpCode,DBH,StreetName,StreetNumber,City,Botanic Name,Common Name,Tree Type
26822,PICA,4,INDUSTRIAL PKWY W,1000,Hayward,Pinus canariensis,,CEL
26823,PICA,4,INDUSTRIAL PKWY W,1000,Hayward,Pinus canariensis,,CEL
26824,PICA,2,INDUSTRIAL PKWY W,700,Hayward,Pinus canariensis,,CEL
26825,PICA,2,INDUSTRIAL PKWY W,200,Hayward,Pinus canariensis,,CEL
26826,PICA,3,INDUSTRIAL PKWY W,200,Hayward,Pinus canariensis,,CEL
26827,PICA,2,INDUSTRIAL PKWY W,200,Hayward,Pinus canariensis,,CEL
26828,ROPS,3,INDUSTRIAL PKWY,500,Hayward,Robinia x ambigua 'Idahoensis',,BDM
26829,ROPS,2,INDUSTRIAL PKWY,500,Hayward,Robinia x ambigua 'Idahoensis',,BDM
26830,ROPS,2,INDUSTRIAL PKWY,500,Hayward,Robinia x ambigua 'Idahoensis',,BDM
26831,PICA,3,INDUSTRIAL PKWY,500,Hayward,Pinus canariensis,,CEL
26832,PICA,4,INDUSTRIAL PKWY,500,Hayward,Pinus canariensis,,CEL
26833,PICA,4,INDUSTRIAL PKWY,500,Hayward,Pinus canariensis,,CEL
26834,ROPS,2,INDUSTRIAL PKWY,500,Hayward,Robinia x ambigua 'Idahoensis',,BDM
26835,ROPS,2,INDUSTRIAL PKWY,500,Hayward,Robinia x ambigua 'Idahoensis',,BDM
26836,ROPS,2,INDUSTRIAL PKWY,500,Hayward,Robinia x ambigua 'Idahoensis',,BDM
26837,ROPS,2,INDUSTRIAL PKWY,500,Hayward,Robinia x ambigua 'Idahoensis',,BDM
26838,ROPS,3,INDUSTRIAL PKWY,500,Hayward,Robinia x ambigua 'Idahoensis',,BDM
26839,ROPS,2,INDUSTRIAL PKWY,500,Hayward,Robinia x ambigua 'Idahoensis',,BDM
26840,LAIN,1,MISSION BLVD,29800,Hayward,Lagerstroemia indica,,BDS
26841,LAIN,1,MISSION BLVD,29800,Hayward,Lagerstroemia indica,,BDS
26842,LAIN,1,MISSION BLVD,29800,Hayward,Lagerstroemia indica,,BDS
