Id.x,SpCode,DBH,StreetName,StreetNumber,City,Botanic Name,Common Name,Tree Type
27,PLAC,6,WARREN ST,1290,Redwood City,Platanus x acerifolia,,BDL
28,PLAC,4,WARREN ST,1290,Redwood City,Platanus x acerifolia,,BDL
29,PLAC,4,WARREN ST,1210,Redwood City,Platanus x acerifolia,,BDL
30,PLAC,3,WARREN ST,1210,Redwood City,Platanus x acerifolia,,BDL
31,PLAC,3,WARREN ST,1210,Redwood City,Platanus x acerifolia,,BDL
32,QUAG,5,WARREN ST,1210,Redwood City,Quercus agrifolia,,BEL
33,QUAG,4,WARREN ST,1210,Redwood City,Quercus agrifolia,,BEL
34,FRVE,4,WARREN ST,1100,Redwood City,Fraxinus oxycarpa,,BDM
35,FRVE,4,WARREN ST,1100,Redwood City,Fraxinus oxycarpa,,BDM
36,MAGR,1,STANDISH ST,210,Redwood City,Magnolia grandiflora,,BEL
37,MAGR,3,STANDISH ST,210,Redwood City,Magnolia grandiflora,,BEL
38,MAGR,3,WARREN ST,1028,Redwood City,Magnolia grandiflora,,BEL
39,MAGR,2,WARREN ST,1028,Redwood City,Magnolia grandiflora,,BEL
40,PICH,1,WARREN ST,1016,Redwood City,Pistacia chinensis,,BDM
41,MAGR,3,WARREN ST,1016,Redwood City,Magnolia grandiflora,,BEL
42,PICH,1,WARREN ST,1002,Redwood City,Pistacia chinensis,,BDM
43,PICH,1,WARREN ST,1002,Redwood City,Pistacia chinensis,,BDM
44,CESI3,3,WARREN ST,1002,Redwood City,Ceratonia siliqua,,BEM
45,MAGR,3,WARREN ST,928,Redwood City,Magnolia grandiflora,,BEL
46,MAGR,2,WARREN ST,920,Redwood City,Magnolia grandiflora,,BEL
47,PLAC,5,WARREN ST,906,Redwood City,Platanus x acerifolia,,BDL
48,PLAC,4,WARREN ST,906,Redwood City,Platanus x acerifolia,,BDL
49,PLAC,3,WARREN ST,902,Redwood City,Platanus x acerifolia,,BDL
