Id.x,SpCode,DBH,StreetName,StreetNumber,City,Botanic Name,Common Name,Tree Type
37086,CICA,5,05TH AVE E,50,San Mateo,Cinnamomum camphora,,BEM
37087,SESE,6,05TH AVE E,50,San Mateo,Sequoia sempervirens,,CEL
37088,PIEU,3,05TH AVE E,50,San Mateo,Pittosporum eugenioides,,BES
37089,QUAG,3,05TH AVE E,50,San Mateo,Quercus agrifolia,,BEL
37090,QUAG,5,05TH AVE E,50,San Mateo,Quercus agrifolia,,BEL
37091,MASO,2,05TH AVE E,50,San Mateo,Magnolia x soulangiana,,BDS
37092,QUAG,5,05TH AVE E,50,San Mateo,Quercus agrifolia,,BEL
37093,ILAL,2,05TH AVE E,50,San Mateo,Ilex species,,BES
37094,QUAG,6,05TH AVE E,50,San Mateo,Quercus agrifolia,,BEL
37095,PIRA,6,05TH AVE E,50,San Mateo,Pinus radiata,,CEL
37096,QUAG,6,05TH AVE E,50,San Mateo,Quercus agrifolia,,BEL
37097,ULAM,6,05TH AVE E,50,San Mateo,Ulmus americana,,BDL
37098,SESE,6,05TH AVE E,50,San Mateo,Sequoia sempervirens,,CEL
37099,UMCA,4,05TH AVE E,50,San Mateo,Umbellularia californica,,BEL
37100,WARO,4,05TH AVE E,50,San Mateo,Washingtonia robusta,,PES
37101,POGR2,4,05TH AVE E,50,San Mateo,Podocarpus gracilior,,CEL
37102,QUSU,4,05TH AVE E,50,San Mateo,Quercus suber,,BEL
37103,OLEU,5,05TH AVE E,50,San Mateo,Olea europaea,,BEM
37104,QUAG,6,05TH AVE E,50,San Mateo,Quercus agrifolia,,BEL
37105,QUAG,5,05TH AVE E,50,San Mateo,Quercus agrifolia,,BEL
37106,MASO,4,05TH AVE E,50,San Mateo,Magnolia x soulangiana,,BDS
37107,QUAG,2,05TH AVE E,50,San Mateo,Quercus agrifolia,,BEL
37108,SESE,3,05TH AVE E,50,San Mateo,Sequoia sempervirens,,CEL
37109,ARHE,4,05TH AVE E,50,San Mateo,Araucaria heterophylla,,CEL
37110,PICA,6,05TH AVE E,50,San Mateo,Pinus canariensis,,CEL
37111,OLEU,5,05TH AVE E,50,San Mateo,Olea europaea,,BEM
37112,ULAM,4,05TH AVE E,50,San Mateo,Ulmus americana,,BDL
37113,SESE,2,05TH AVE E,50,San Mateo,Sequoia sempervirens,,CEL
37114,QUAG,4,05TH AVE E,50,San Mateo,Quercus agrifolia,,BEL
37115,ACPA,3,05TH AVE E,50,San Mateo,Acer palmatum,,BDS
37116,PICA,5,05TH AVE E,50,San Mateo,Pinus canariensis,,CEL
37117,PHCA,4,05TH AVE E,50,San Mateo,Phoenix canariensis,,PEL
37118,MASO,6,05TH AVE E,50,San Mateo,Magnolia x soulangiana,,BDS
37119,QUAG,6,05TH AVE E,50,San Mateo,Quercus agrifolia,,BEL
37120,THPL,3,05TH AVE E,50,San Mateo,Thuja plicata,,CEL
37121,MEGL,4,05TH AVE E,50,San Mateo,Metasequoia glyptostroboides,,BDL
37122,QUSU,2,05TH AVE E,50,San Mateo,Quercus suber,,BEL
37123,MASO,4,05TH AVE E,50,San Mateo,Magnolia x soulangiana,,BDS
37124,SESE,6,05TH AVE E,50,San Mateo,Sequoia sempervirens,,CEL
37125,PICA,6,05TH AVE E,50,San Mateo,Pinus canariensis,,CEL
37126,ACRU,1,05TH AVE E,50,San Mateo,Acer rubrum,,BDM
37127,CADE2,4,05TH AVE E,50,San Mateo,Calocedrus decurrens,,CEL
37128,SESE,6,05TH AVE E,50,San Mateo,Sequoia sempervirens,,CEL
37129,PRAR,2,05TH AVE E,50,San Mateo,Prunus species,,BDS
37130,PRSE2,2,05TH AVE E,50,San Mateo,Prunus serrulata,,BDS
37131,QUAG,4,05TH AVE E,50,San Mateo,Quercus agrifolia,,BEL
37132,MEGL,6,05TH AVE E,50,San Mateo,Metasequoia glyptostroboides,,BDL
37133,MASO,2,05TH AVE E,50,San Mateo,Magnolia x soulangiana,,BDS
37134,PHCA,5,05TH AVE E,50,San Mateo,Phoenix canariensis,,PEL
37135,QUAG,6,05TH AVE E,50,San Mateo,Quercus agrifolia,,BEL
37136,QUAG,6,05TH AVE E,50,San Mateo,Quercus agrifolia,,BEL
37137,QUAG,5,05TH AVE E,50,San Mateo,Quercus agrifolia,,BEL
37138,SESE,4,05TH AVE E,50,San Mateo,Sequoia sempervirens,,CEL
37139,SESE,3,05TH AVE E,50,San Mateo,Sequoia sempervirens,,CEL
37140,QULO,6,05TH AVE E,50,San Mateo,Quercus lobata,,BDL
37141,SESE,6,05TH AVE E,50,San Mateo,Sequoia sempervirens,,CEL
37142,MASO,2,05TH AVE E,50,San Mateo,Magnolia x soulangiana,,BDS
37143,PRBL,2,05TH AVE E,50,San Mateo,Prunus blireiana,,BDS
37144,SESE,6,05TH AVE E,50,San Mateo,Sequoia sempervirens,,CEL
37145,QULO,6,05TH AVE E,50,San Mateo,Quercus lobata,,BDL
37146,AIAL,5,05TH AVE E,50,San Mateo,Ailanthus altissima,,BDM
37147,QUAG,5,05TH AVE E,50,San Mateo,Quercus agrifolia,,BEL
37148,MASO,4,05TH AVE E,50,San Mateo,Magnolia x soulangiana,,BDS
37149,QULO,3,05TH AVE E,50,San Mateo,Quercus lobata,,BDL
37150,SESE,6,05TH AVE E,50,San Mateo,Sequoia sempervirens,,CEL
37151,SESE,6,05TH AVE E,50,San Mateo,Sequoia sempervirens,,CEL
37152,SESE,6,05TH AVE E,50,San Mateo,Sequoia sempervirens,,CEL
37153,OLEU,3,05TH AVE E,50,San Mateo,Olea europaea,,BEM
37154,QUAG,5,05TH AVE E,50,San Mateo,Quercus agrifolia,,BEL
37155,MASO,2,05TH AVE E,50,San Mateo,Magnolia x soulangiana,,BDS
37156,SESE,6,05TH AVE E,50,San Mateo,Sequoia sempervirens,,CEL
37157,AEHI,3,05TH AVE E,50,San Mateo,Aesculus carnea,,BDM
37158,FASY,3,05TH AVE E,50,San Mateo,Fagus sylvatica,,BDL
37159,QUAG,4,05TH AVE E,50,San Mateo,Quercus agrifolia,,BEL
37160,SESE,4,05TH AVE E,50,San Mateo,Sequoia sempervirens,,CEL
37161,QUAG,4,05TH AVE E,50,San Mateo,Quercus agrifolia,,BEL
37162,SEGI,5,05TH AVE E,50,San Mateo,Sequoiadendron giganteum,,CEL
37163,QUAG,6,05TH AVE E,50,San Mateo,Quercus agrifolia,,BEL
37164,PICA,1,05TH AVE E,50,San Mateo,Pinus canariensis,,CEL
37165,MASO,2,05TH AVE E,50,San Mateo,Magnolia x soulangiana,,BDS
37166,SESE,6,05TH AVE E,50,San Mateo,Sequoia sempervirens,,CEL
37167,QULO,6,05TH AVE E,50,San Mateo,Quercus lobata,,BDL
37168,PICA,3,05TH AVE E,50,San Mateo,Pinus canariensis,,CEL
37169,QUAG,6,05TH AVE E,50,San Mateo,Quercus agrifolia,,BEL
37170,SESE,5,05TH AVE E,50,San Mateo,Sequoia sempervirens,,CEL
37171,UMCA,6,05TH AVE E,50,San Mateo,Umbellularia californica,,BEL
37172,QUAG,5,05TH AVE E,50,San Mateo,Quercus agrifolia,,BEL
37173,MASO,4,05TH AVE E,50,San Mateo,Magnolia x soulangiana,,BDS
37174,QUAG,5,05TH AVE E,50,San Mateo,Quercus agrifolia,,BEL
37175,SESE,5,05TH AVE E,50,San Mateo,Sequoia sempervirens,,CEL
37176,SESE,6,05TH AVE E,50,San Mateo,Sequoia sempervirens,,CEL
37177,QUAG,4,05TH AVE E,50,San Mateo,Quercus agrifolia,,BEL
37178,CEDE,6,05TH AVE E,50,San Mateo,Cedrus deodara,,CEL
37179,SESE,4,05TH AVE E,50,San Mateo,Sequoia sempervirens,,CEL
37180,QUAG,5,05TH AVE E,50,San Mateo,Quercus agrifolia,,BEL
37181,PRBL,3,05TH AVE E,50,San Mateo,Prunus blireiana,,BDS
37182,TRLA,2,05TH AVE E,50,San Mateo,Tristaniopsis laurina,,BES
37183,QULO,5,05TH AVE E,50,San Mateo,Quercus lobata,,BDL
37184,UMCA,3,05TH AVE E,50,San Mateo,Umbellularia californica,,BEL
37185,QUAG,4,05TH AVE E,50,San Mateo,Quercus agrifolia,,BEL
37186,PICA,3,05TH AVE E,50,San Mateo,Pinus canariensis,,CEL
37187,SESE,6,05TH AVE E,50,San Mateo,Sequoia sempervirens,,CEL
37188,WAFI,5,05TH AVE E,50,San Mateo,Washingtonia filifera,,PES
37189,MAGR,3,05TH AVE E,50,San Mateo,Magnolia grandiflora,,BEL
37190,WAFI,5,05TH AVE E,50,San Mateo,Washingtonia filifera,,PES
37191,QUAG,6,05TH AVE E,50,San Mateo,Quercus agrifolia,,BEL
37192,CUMA,3,05TH AVE E,50,San Mateo,Cupressus species,,CEL
37193,SESE,6,05TH AVE E,50,San Mateo,Sequoia sempervirens,,CEL
37194,QUAG,6,05TH AVE E,50,San Mateo,Quercus agrifolia,,BEL
37195,UMCA,2,05TH AVE E,50,San Mateo,Umbellularia californica,,BEL
37196,THPL,1,05TH AVE E,50,San Mateo,Thuja plicata,,CEL
37197,PRSE2,1,05TH AVE E,50,San Mateo,Prunus serrulata,,BDS
37198,OLEU,5,05TH AVE E,50,San Mateo,Olea europaea,,BEM
37199,LILU,3,05TH AVE E,50,San Mateo,Ligustrum lucidum,,BEM
37200,QUAG,6,05TH AVE E,50,San Mateo,Quercus agrifolia,,BEL
37201,EUGL,6,05TH AVE E,50,San Mateo,Eucalyptus globulus,,BEL
37202,SESE,6,05TH AVE E,50,San Mateo,Sequoia sempervirens,,CEL
37203,QUAG,3,05TH AVE E,50,San Mateo,Quercus agrifolia,,BEL
37204,QULO,6,05TH AVE E,50,San Mateo,Quercus lobata,,BDL
37205,QUAG,6,05TH AVE E,50,San Mateo,Quercus agrifolia,,BEL
37206,QUAG,5,05TH AVE E,50,San Mateo,Quercus agrifolia,,BEL
37207,MASO,4,05TH AVE E,50,San Mateo,Magnolia x soulangiana,,BDS
37208,UMCA,1,05TH AVE E,50,San Mateo,Umbellularia californica,,BEL
37209,PRSE2,1,05TH AVE E,50,San Mateo,Prunus serrulata,,BDS
37210,SESE,3,05TH AVE E,50,San Mateo,Sequoia sempervirens,,CEL
37211,WAFI,5,05TH AVE E,50,San Mateo,Washingtonia filifera,,PES
37212,GIBI,3,05TH AVE E,50,San Mateo,Ginkgo biloba,,BDL
37213,AB,3,05TH AVE E,50,San Mateo,Abies pinsapo,,CEL
37214,QUAG,4,05TH AVE E,50,San Mateo,Quercus agrifolia,,BEL
37215,SESE,6,05TH AVE E,50,San Mateo,Sequoia sempervirens,,CEL
37216,WAFI,5,05TH AVE E,50,San Mateo,Washingtonia filifera,,PES
37217,QULO,3,05TH AVE E,50,San Mateo,Quercus lobata,,BDL
37218,QUAG,3,05TH AVE E,50,San Mateo,Quercus agrifolia,,BEL
