Id.x,SpCode,DBH,StreetName,StreetNumber,City,Botanic Name,Common Name,Tree Type
1,PLAC,5,N MAIN,1666,Walnut Creek,Platanus x acerifolia,London plane tree,BDL
2,PLAC,4,N MAIN,1666,Walnut Creek,Platanus x acerifolia,London plane tree,BDL
3,PLAC,4,N MAIN,1666,Walnut Creek,Platanus x acerifolia,London plane tree,BDL
4,PLAC,4,N MAIN,1666,Walnut Creek,Platanus x acerifolia,London plane tree,BDL
5,PLAC,1,N MAIN,1666,Walnut Creek,Platanus x acerifolia,London plane tree,BDL
6,LITU,1,N MAIN,1666,Walnut Creek,Liriodendron tulipifera,tuliptree,BDL
7,LITU,2,N MAIN,1666,Walnut Creek,Liriodendron tulipifera,tuliptree,BDL
8,ACRU,1,N MAIN,1666,Walnut Creek,Acer rubrum 'October Glory',"maple, red",BDM
9,PLAC,2,N MAIN,1666,Walnut Creek,Platanus x acerifolia,London plane tree,BDL
10,PLAC,4,BROADWAY (N),1501,Walnut Creek,Platanus x acerifolia,London plane tree,BDL
11,PLAC,3,BROADWAY (N),1501,Walnut Creek,Platanus x acerifolia,London plane tree,BDL
12,MAGR,2,BROADWAY (N),1475,Walnut Creek,Magnolia grandiflora,"magnolia, southern",BEL
13,MAGR,2,BROADWAY (N),1475,Walnut Creek,Magnolia grandiflora,"magnolia, southern",BEL
14,MAGR,2,BROADWAY (N),1441,Walnut Creek,Magnolia grandiflora,"magnolia, southern",BEL
15,MAGR,2,BROADWAY (N),1437,Walnut Creek,Magnolia grandiflora,"magnolia, southern",BEL
16,MAGR,1,BROADWAY (N),1419,Walnut Creek,Magnolia grandiflora,"magnolia, southern",BEL
17,QURU,2,BROADWAY (N),1401,Walnut Creek,Quercus rubra,"oak, red",BDL
19,QURU,2,BROADWAY (N),1401,Walnut Creek,Quercus rubra,"oak, red",BDL
20,QURU,2,BROADWAY (N),1401,Walnut Creek,Quercus rubra,"oak, red",BDL
21,QURU,2,BROADWAY (N),1401,Walnut Creek,Quercus rubra,"oak, red",BDL
22,LAIN,1,BROADWAY (N),1401,Walnut Creek,Lagerstroemia indica,crape myrtle,BDS
23,LAIN,1,N MAIN,1402,Walnut Creek,Lagerstroemia indica,crape myrtle,BDS
24,LITU,3,N MAIN,1402,Walnut Creek,Liriodendron tulipifera,tuliptree,BDL
25,LITU,3,N MAIN,1410,Walnut Creek,Liriodendron tulipifera,tuliptree,BDL
26,LITU,4,N MAIN,1410,Walnut Creek,Liriodendron tulipifera,tuliptree,BDL
27,LITU,4,N MAIN,1414,Walnut Creek,Liriodendron tulipifera,tuliptree,BDL
28,MAGR,3,N MAIN,1432,Walnut Creek,Magnolia grandiflora,"magnolia, southern",BEL
29,MAGR,2,N MAIN,1432,Walnut Creek,Magnolia grandiflora,"magnolia, southern",BEL
30,MAGR,3,N MAIN,1434,Walnut Creek,Magnolia grandiflora,"magnolia, southern",BEL
31,MAGR,3,N MAIN,1434,Walnut Creek,Magnolia grandiflora,"magnolia, southern",BEL
32,CECA,1,N MAIN,1442,Walnut Creek,Cercis canadensis,"redbud, eastern",BDS
33,LITU,4,N MAIN,1506,Walnut Creek,Liriodendron tulipifera,tuliptree,BDL
34,PLAC,1,N MAIN,1512,Walnut Creek,Platanus acerifolia 'Columbia',"sycamore, western",BDL
35,PLAC,1,N MAIN,1520,Walnut Creek,Platanus acerifolia 'Columbia',"sycamore, western",BDL
36,PLAC,1,N MAIN,1522,Walnut Creek,Platanus acerifolia 'Columbia',"sycamore, western",BDL
37,LITU,3,N MAIN,1522,Walnut Creek,Liriodendron tulipifera,tuliptree,BDL
38,LITU,3,N MAIN,1522,Walnut Creek,Liriodendron tulipifera,tuliptree,BDL
